RegionID,GenDate,Source,GeneratedMWh,InstalledCapacityMW,CapacityFactorPct
10033,2022-01-08,Solar,3.27,229.72,0.06
10127,2023-02-10,Wind,62.52,110.77,2.35
10162,2024-07-30,Solar,52.1,160.71,1.35
10152,2023-10-03,Solar,19.0,188.73,0.42
10110,2024-12-22,Solar,53.29,45.28,4.9
10003,2022-11-14,Wind,84.51,159.39,2.21
10009,2022-11-13,Wind,71.4,272.59,1.09
10205,2024-04-08,Wind,60.09,102.13,2.45
10226,2022-07-26,Solar,69.16,127.46,2.26
10171,2023-05-31,Wind,118.45,187.67,2.63
10209,2022-06-30,Solar,61.52,161.4,1.59
10239,2025-08-19,Solar,17.49,183.01,0.4
10020,2022-03-17,Wind,88.83,250.64,1.48
10111,2024-02-09,Wind,82.27,84.51,4.06
10106,2023-04-17,Solar,41.02,96.2,1.78
10120,2023-08-21,Wind,59.74,228.14,1.09
10095,2022-11-13,Solar,35.96,172.58,0.87
10115,2025-05-01,Solar,52.8,137.44,1.6
10053,2024-08-11,Wind,57.52,262.01,0.91
10059,2023-01-03,Solar,47.77,89.31,2.23
10194,2023-08-10,Wind,80.3,283.16,1.18
10052,2023-03-09,Solar,54.7,231.8,0.98
10123,2023-09-12,Wind,76.11,175.71,1.8
10213,2025-06-16,Solar,7.4,169.49,0.18
10112,2022-12-18,Solar,20.27,85.51,0.99
10020,2024-08-27,Solar,67.38,297.56,0.94
10174,2023-03-13,Wind,46.04,102.49,1.87
10033,2023-09-26,Solar,46.35,251.53,0.77
10165,2024-07-12,Solar,41.03,285.89,0.6
10008,2022-08-26,Solar,34.96,157.27,0.93
10108,2022-02-02,Wind,100.61,217.32,1.93
10132,2024-10-23,Solar,47.75,117.11,1.7
10205,2025-08-04,Solar,75.58,287.13,1.1
10166,2023-07-10,Wind,88.3,191.38,1.92
10224,2024-01-01,Wind,103.6,40.04,10.78
10048,2022-02-11,Wind,92.55,220.29,1.75
10000,2023-11-06,Solar,45.73,268.87,0.71
10023,2022-01-19,Solar,59.37,178.47,1.39
10133,2023-06-02,Solar,53.86,170.48,1.32
10138,2024-10-13,Solar,73.93,54.68,5.63
10035,2025-03-14,Solar,47.64,42.33,4.69
10028,2025-03-16,Wind,80.92,62.67,5.38
10112,2022-05-30,Solar,64.42,76.89,3.49
10073,2023-11-09,Wind,89.99,42.24,8.88
10048,2025-07-05,Wind,109.1,254.47,1.79
10069,2023-07-17,Solar,20.66,213.04,0.4
10015,2025-01-29,Solar,43.13,192.56,0.93
10001,2022-01-28,Solar,79.07,46.31,7.11
10196,2022-10-13,Wind,78.09,41.31,7.88
10008,2023-03-29,Solar,66.41,221.27,1.25
10051,2022-02-08,Solar,37.79,70.36,2.24
10152,2022-10-25,Solar,62.2,214.5,1.21
10132,2023-05-25,Solar,63.78,198.85,1.34
10022,2024-06-04,Solar,70.55,29.69,9.9
10021,2022-09-21,Solar,35.03,48.72,3.0
10144,2024-09-13,Solar,49.88,227.13,0.92
10000,2025-04-26,Solar,72.54,58.66,5.15
10209,2022-12-30,Solar,82.95,199.85,1.73
10151,2023-07-16,Wind,96.18,54.5,7.35
10136,2022-09-28,Wind,89.76,136.34,2.74
10092,2025-04-09,Wind,74.43,260.28,1.19
10139,2024-01-25,Wind,8.09,241.91,0.14
10004,2022-05-29,Solar,31.66,203.67,0.65
10028,2024-10-26,Solar,33.96,109.34,1.29
10019,2024-10-15,Solar,55.84,118.12,1.97
10134,2022-10-29,Wind,66.66,259.28,1.07
10026,2024-06-02,Solar,47.52,266.78,0.74
10180,2025-04-01,Solar,81.64,172.25,1.97
10138,2022-06-16,Wind,78.65,152.75,2.15
10191,2024-11-15,Solar,12.18,298.48,0.17
10149,2022-02-17,Solar,86.2,83.43,4.31
10111,2024-06-06,Wind,85.45,257.66,1.38
10101,2023-09-20,Solar,30.89,257.28,0.5
10166,2024-07-13,Wind,119.8,174.24,2.86
10197,2022-09-16,Solar,61.07,207.8,1.22
10063,2024-12-01,Wind,77.15,269.09,1.19
10161,2024-02-04,Solar,24.94,261.96,0.4
10119,2023-10-28,Solar,61.98,105.95,2.44
10076,2025-06-24,Wind,69.96,220.33,1.32
10144,2025-06-16,Solar,32.09,267.59,0.5
10008,2022-03-06,Solar,55.09,83.24,2.76
10029,2022-02-16,Solar,74.33,157.27,1.97
10098,2022-07-31,Solar,9.11,37.15,1.02
10182,2023-10-05,Wind,95.17,20.96,18.92
10217,2024-01-07,Solar,16.19,200.32,0.34
10076,2024-05-07,Solar,63.41,215.35,1.23
10230,2022-05-30,Solar,101.21,187.24,2.25
10018,2025-04-08,Wind,39.02,241.78,0.67
10079,2023-10-25,Solar,64.77,226.21,1.19
10025,2025-07-03,Solar,5.54,134.9,0.17
10203,2023-08-15,Wind,90.03,31.09,12.07
10189,2023-11-19,Solar,70.29,83.94,3.49
10115,2023-07-12,Wind,29.27,26.35,4.63
10166,2024-05-23,Wind,68.74,133.13,2.15
10226,2024-12-04,Solar,24.56,193.26,0.53
10106,2022-04-26,Solar,27.52,174.85,0.66
10088,2023-10-15,Wind,60.01,93.92,2.66
10172,2022-02-07,Wind,66.87,143.79,1.94
10192,2023-12-24,Wind,50.9,234.76,0.9
10174,2023-07-15,Solar,59.58,58.84,4.22
10132,2023-10-20,Solar,31.17,140.37,0.93
10138,2023-06-12,Wind,88.62,266.07,1.39
10184,2025-09-02,Solar,34.85,147.61,0.98
10029,2024-07-13,Solar,58.33,67.92,3.58
10169,2022-04-27,Wind,106.26,156.07,2.84
10068,2022-10-17,Solar,92.99,212.84,1.82
10162,2022-06-03,Wind,46.65,295.01,0.66
10051,2025-05-20,Solar,74.86,228.68,1.36
10172,2024-06-14,Wind,129.78,278.11,1.94
10086,2023-11-12,Solar,31.29,294.13,0.44
10141,2024-02-14,Solar,46.62,38.79,5.01
10215,2022-05-22,Solar,25.64,60.99,1.75
10182,2023-03-06,Solar,56.34,22.08,10.63
10045,2022-12-04,Solar,46.44,103.12,1.88
10117,2022-06-02,Wind,106.29,170.57,2.6
10068,2024-06-30,Wind,61.63,56.46,4.55
10219,2025-03-05,Solar,52.13,118.95,1.83
10135,2023-09-03,Solar,61.27,202.5,1.26
10018,2023-07-20,Solar,82.22,173.22,1.98
10174,2025-03-20,Wind,100.39,247.09,1.69
10067,2023-01-26,Solar,123.5,116.14,4.43
10111,2024-01-23,Wind,60.19,265.7,0.94
10014,2024-09-07,Wind,106.98,162.37,2.75
10147,2023-09-27,Solar,71.84,135.68,2.21
10231,2023-07-20,Solar,99.94,36.54,11.4
10018,2023-12-27,Solar,1.0,170.18,0.02
10076,2022-05-14,Wind,86.56,154.85,2.33
10062,2022-02-24,Wind,72.84,116.38,2.61
10205,2022-05-03,Solar,11.74,131.63,0.37
10091,2023-07-06,Wind,46.71,283.43,0.69
10206,2025-04-13,Solar,39.29,149.33,1.1
10160,2023-04-12,Solar,93.51,78.85,4.94
10045,2022-05-26,Wind,83.94,110.24,3.17
10039,2022-01-20,Solar,41.12,182.73,0.94
10216,2022-04-04,Solar,62.05,86.85,2.98
10170,2023-07-22,Solar,37.18,199.66,0.78
10103,2024-01-03,Wind,102.58,197.01,2.17
10086,2024-08-06,Solar,54.89,104.23,2.19
10031,2022-11-19,Wind,75.36,97.11,3.23
10133,2022-01-09,Solar,29.43,51.66,2.37
10153,2024-08-22,Solar,26.35,114.6,0.96
10056,2024-03-31,Solar,89.15,242.23,1.53
10081,2023-01-13,Solar,47.07,229.72,0.85
10160,2022-10-16,Solar,46.76,280.05,0.7
10074,2025-07-01,Wind,76.15,136.27,2.33
10002,2025-07-14,Wind,37.76,165.94,0.95
10106,2022-01-28,Solar,16.5,195.47,0.35
10207,2022-03-25,Solar,64.86,225.5,1.2
10185,2023-06-25,Wind,104.98,294.98,1.48
10115,2025-05-29,Solar,65.36,277.57,0.98
10098,2023-08-14,Wind,91.51,262.66,1.45
10165,2024-05-23,Solar,62.93,171.52,1.53
10101,2023-07-19,Solar,42.43,68.8,2.57
10123,2023-12-21,Solar,78.34,188.03,1.74
10016,2024-12-29,Solar,91.11,150.77,2.52
10145,2025-04-27,Solar,69.66,35.44,8.19
10078,2022-11-13,Solar,36.81,216.27,0.71
10184,2024-01-03,Solar,14.13,57.7,1.02
10070,2025-03-02,Solar,57.47,142.76,1.68
10143,2025-03-15,Solar,1.0,209.79,0.02
10198,2024-05-16,Wind,71.12,39.88,7.43
10058,2022-02-20,Solar,7.73,95.18,0.34
10001,2023-09-16,Solar,23.13,71.0,1.36
10047,2023-08-20,Wind,70.74,116.13,2.54
10194,2023-10-23,Solar,62.36,157.06,1.65
10150,2022-06-24,Wind,73.97,41.55,7.42
10036,2024-01-23,Wind,97.07,295.84,1.37
10221,2023-07-29,Wind,68.45,183.19,1.56
10060,2022-12-20,Solar,38.16,23.96,6.64
10200,2022-07-21,Solar,64.93,181.13,1.49
10089,2024-09-08,Solar,101.77,271.04,1.56
10172,2023-07-25,Wind,61.85,52.21,4.94
10209,2022-04-21,Solar,44.31,183.36,1.01
10033,2023-09-23,Wind,88.52,253.45,1.46
10101,2024-09-03,Wind,64.84,156.28,1.73
10059,2024-04-13,Wind,111.92,98.44,4.74
10009,2022-01-27,Solar,22.47,253.38,0.37
10090,2025-08-24,Wind,52.44,287.11,0.76
10061,2023-06-22,Wind,96.42,124.33,3.23
10149,2025-05-27,Solar,2.27,180.36,0.05
10180,2024-09-29,Solar,33.54,235.92,0.59
10235,2025-02-04,Wind,74.97,296.17,1.05
10169,2023-09-28,Solar,59.3,180.27,1.37
10172,2022-03-20,Solar,69.59,32.63,8.89
10182,2024-12-05,Wind,134.01,290.68,1.92
10007,2024-12-14,Wind,60.43,297.68,0.85
10217,2024-01-23,Solar,51.07,95.35,2.23
10016,2023-10-18,Solar,18.29,285.3,0.27
10212,2022-03-28,Solar,36.68,232.71,0.66
10163,2022-02-02,Solar,14.69,158.5,0.39
10154,2025-09-26,Wind,30.82,117.18,1.1
10173,2025-05-23,Wind,77.97,64.9,5.01
10237,2023-11-25,Wind,103.54,68.59,6.29
10200,2023-02-05,Wind,57.45,188.27,1.27
10022,2025-06-27,Wind,30.42,101.27,1.25
10238,2023-04-01,Solar,78.57,28.7,11.41
10208,2023-10-12,Wind,78.41,63.65,5.13
10122,2024-04-29,Solar,29.97,289.84,0.43
10076,2022-08-01,Wind,64.22,174.02,1.54
10110,2025-03-24,Wind,72.28,207.96,1.45
10075,2023-07-29,Solar,26.3,245.09,0.45
10012,2022-04-21,Wind,94.66,55.85,7.06
10081,2022-10-07,Solar,58.33,71.11,3.42
10034,2022-01-17,Wind,73.27,166.05,1.84
10028,2023-01-27,Solar,75.44,127.63,2.46
10166,2023-12-10,Solar,34.36,234.74,0.61
10053,2022-05-27,Solar,56.05,54.21,4.31
10214,2022-01-31,Wind,27.13,101.97,1.11
10087,2022-09-27,Solar,28.85,170.08,0.71
10121,2025-01-22,Solar,83.14,49.37,7.02
10057,2025-05-20,Wind,108.1,117.7,3.83
10159,2022-01-28,Wind,69.17,81.55,3.53
10063,2023-07-18,Solar,58.95,248.09,0.99
10073,2023-12-26,Solar,45.21,210.77,0.89
10220,2025-01-12,Solar,53.66,45.06,4.96
10085,2025-05-10,Solar,77.18,32.02,10.04
10023,2025-02-17,Wind,51.93,78.92,2.74
10115,2023-05-23,Solar,92.77,65.31,5.92
10163,2025-03-23,Solar,24.47,209.11,0.49
10230,2023-07-26,Solar,55.88,30.09,7.74
10151,2022-09-24,Wind,61.95,60.84,4.24
10170,2024-11-27,Solar,24.99,137.31,0.76
10089,2022-10-03,Solar,43.84,111.82,1.63
10162,2022-10-05,Solar,47.57,200.59,0.99
10070,2023-10-05,Solar,47.82,69.8,2.85
10074,2024-11-03,Solar,23.47,70.34,1.39
10048,2024-02-03,Solar,16.65,155.42,0.45
10155,2022-08-03,Solar,72.43,182.29,1.66
10067,2023-11-17,Wind,67.63,109.7,2.57
10094,2022-10-04,Wind,103.58,86.83,4.97
10015,2022-12-06,Wind,62.27,48.48,5.35
10014,2022-06-17,Solar,13.46,33.98,1.65
10048,2022-02-16,Solar,1.0,158.91,0.03
10090,2023-02-04,Wind,122.19,62.43,8.16
10028,2023-03-21,Solar,44.67,199.87,0.93
10090,2022-03-18,Wind,92.02,145.66,2.63
10055,2024-07-11,Wind,83.63,271.01,1.29
10058,2025-07-08,Solar,15.94,108.47,0.61
10191,2023-10-16,Solar,1.0,46.49,0.09
10039,2022-06-29,Wind,90.33,73.16,5.14
10078,2024-06-14,Wind,82.46,91.98,3.74
10122,2023-01-29,Wind,72.08,83.87,3.58
10120,2023-12-06,Solar,97.38,135.1,3.0
10063,2023-08-10,Wind,67.16,192.46,1.45
10168,2025-03-14,Wind,76.5,83.74,3.81
10159,2025-03-29,Wind,109.9,132.19,3.46
10184,2023-08-29,Solar,55.31,117.94,1.95
10060,2023-11-22,Solar,53.43,199.82,1.11
10167,2022-12-16,Solar,49.73,288.65,0.72
10049,2023-12-05,Solar,68.93,124.95,2.3
10039,2024-08-19,Solar,59.83,260.98,0.96
10023,2024-06-26,Solar,63.79,89.41,2.97
10055,2022-05-15,Wind,85.07,213.84,1.66
10010,2024-07-13,Wind,81.76,200.9,1.7
10001,2024-08-14,Solar,50.66,87.12,2.42
10129,2023-07-17,Wind,55.25,291.68,0.79
10239,2024-02-02,Solar,25.01,177.5,0.59
10113,2024-05-15,Solar,120.72,257.47,1.95
10020,2023-08-31,Wind,108.93,78.42,5.79
10219,2025-07-07,Solar,61.08,141.26,1.8
10152,2023-12-27,Wind,132.02,216.63,2.54
10054,2024-09-16,Wind,86.33,68.64,5.24
10008,2022-12-09,Wind,104.31,30.5,14.25
10110,2024-07-12,Solar,68.97,190.02,1.51
10160,2022-03-16,Solar,27.42,187.03,0.61
10199,2022-08-27,Solar,5.54,34.55,0.67
10171,2024-05-22,Solar,23.78,273.41,0.36
10124,2023-02-12,Solar,59.18,92.09,2.68
10155,2025-02-18,Solar,56.23,166.61,1.41
10215,2022-07-16,Solar,40.94,200.96,0.85
10085,2023-03-18,Solar,17.76,34.17,2.17
10078,2025-08-27,Wind,78.63,143.58,2.28
10011,2023-07-29,Solar,68.1,251.83,1.13
10174,2025-05-30,Wind,54.15,151.61,1.49
10116,2024-11-22,Solar,56.1,157.8,1.48
10207,2023-09-13,Solar,63.82,20.34,13.07
10174,2022-07-18,Wind,111.98,25.42,18.35
10049,2024-08-05,Solar,56.07,82.01,2.85
10066,2025-06-25,Solar,53.45,159.89,1.39
10014,2023-07-17,Solar,51.64,286.81,0.75
10183,2025-09-24,Solar,1.0,207.61,0.02
10150,2023-08-27,Solar,54.77,288.85,0.79
10032,2023-10-15,Wind,87.42,248.63,1.47
10006,2023-11-22,Solar,30.92,269.05,0.48
10191,2022-08-22,Solar,31.61,140.37,0.94
10016,2024-03-29,Solar,28.8,94.82,1.27
10089,2025-03-16,Solar,21.01,66.25,1.32
10133,2024-09-22,Solar,67.81,204.65,1.38
10161,2025-05-23,Solar,74.59,28.6,10.87
10080,2023-01-09,Wind,26.12,292.69,0.37
10150,2023-09-10,Wind,55.94,186.94,1.25
10222,2023-06-11,Wind,75.07,250.84,1.25
10066,2024-10-03,Solar,31.34,284.28,0.46
10055,2022-02-14,Solar,61.11,45.11,5.64
10022,2024-02-24,Solar,52.65,189.54,1.16
10073,2025-04-23,Wind,96.43,83.42,4.82
10137,2022-05-29,Solar,42.51,117.89,1.5
10217,2022-12-18,Solar,37.13,234.32,0.66
10102,2024-06-12,Wind,105.18,68.66,6.38
10147,2024-06-23,Wind,100.66,243.17,1.72
10096,2022-07-21,Solar,69.41,291.25,0.99
10125,2022-06-09,Solar,45.51,98.98,1.92
10100,2023-06-10,Solar,38.92,71.97,2.25
10031,2024-03-03,Solar,93.31,263.07,1.48
10207,2024-07-30,Wind,77.66,265.48,1.22
10160,2024-10-22,Solar,51.52,154.05,1.39
10073,2025-05-17,Solar,19.08,133.7,0.59
10070,2024-11-12,Solar,47.61,172.71,1.15
10006,2022-04-21,Solar,49.68,282.81,0.73
10016,2024-05-15,Solar,58.3,222.97,1.09
10159,2022-12-30,Solar,29.17,184.68,0.66
10081,2024-09-20,Solar,33.32,158.67,0.87
10111,2023-05-27,Solar,52.28,163.64,1.33
10136,2022-07-02,Wind,77.81,197.94,1.64
10206,2023-08-31,Wind,68.01,293.99,0.96
10015,2022-01-02,Solar,38.68,247.11,0.65
10021,2024-08-19,Solar,101.43,77.01,5.49
10239,2024-02-22,Solar,90.84,46.28,8.18
10064,2024-06-03,Wind,74.59,194.14,1.6
10030,2025-07-01,Solar,1.0,170.44,0.02
10089,2025-07-25,Wind,87.95,147.52,2.48
10131,2024-01-05,Solar,99.5,245.8,1.69
10022,2023-05-15,Wind,53.84,293.59,0.76
10029,2022-08-18,Solar,83.24,65.77,5.27
10087,2024-09-26,Wind,67.1,108.17,2.58
10154,2022-12-22,Solar,48.89,20.55,9.91
10103,2023-01-29,Wind,75.8,131.82,2.4
10118,2022-12-12,Solar,63.17,103.9,2.53
10214,2025-08-08,Solar,39.56,221.72,0.74
10029,2024-06-20,Wind,52.92,113.73,1.94
10111,2023-05-18,Solar,65.28,86.1,3.16
10084,2025-09-06,Wind,80.34,211.06,1.59
10119,2024-10-26,Solar,6.9,264.21,0.11
10182,2024-10-17,Wind,74.69,171.27,1.82
10187,2023-02-16,Wind,73.31,27.59,11.07
10093,2022-03-05,Solar,91.3,276.62,1.38
10194,2024-09-23,Wind,77.45,222.7,1.45
10180,2025-04-03,Solar,45.51,172.3,1.1
10152,2024-08-01,Wind,71.32,120.41,2.47
10132,2022-09-08,Solar,37.61,55.55,2.82
10178,2024-01-17,Solar,49.66,43.47,4.76
10003,2025-03-20,Solar,24.43,270.38,0.38
10222,2024-04-08,Wind,99.31,211.06,1.96
10116,2024-07-21,Solar,44.89,288.24,0.65
10223,2025-07-13,Solar,51.16,25.15,8.48
10056,2022-10-12,Wind,126.75,80.37,6.57
10163,2024-08-20,Wind,66.1,98.1,2.81
10040,2025-04-16,Solar,56.13,37.01,6.32
10183,2024-05-23,Wind,126.75,258.75,2.04
10157,2025-06-30,Wind,90.92,65.39,5.79
10195,2024-05-13,Solar,28.23,62.66,1.88
10190,2023-10-16,Solar,1.97,47.88,0.17
10126,2023-04-07,Solar,61.99,149.05,1.73
10140,2023-08-21,Wind,77.29,189.79,1.7
10039,2025-02-03,Solar,63.01,172.33,1.52
10015,2022-09-05,Solar,61.23,273.54,0.93
10124,2025-01-17,Solar,76.25,100.86,3.15
10160,2022-09-05,Wind,117.86,29.09,16.88
10197,2022-12-07,Wind,62.92,213.43,1.23
10136,2024-01-18,Solar,30.3,295.59,0.43
10007,2022-09-13,Wind,82.44,163.35,2.1
10020,2022-08-18,Solar,78.42,232.92,1.4
10143,2024-08-24,Wind,47.61,130.47,1.52
10128,2022-09-04,Solar,64.16,241.34,1.11
10232,2022-11-05,Solar,30.58,198.91,0.64
10150,2025-01-17,Solar,42.04,30.22,5.8
10015,2022-11-10,Solar,10.43,211.81,0.21
10214,2022-06-17,Solar,42.32,27.64,6.38
10220,2024-03-30,Solar,71.08,124.26,2.38
10010,2025-05-20,Solar,68.13,259.03,1.1
10170,2023-06-07,Wind,127.7,234.2,2.27
10070,2024-07-14,Wind,65.69,67.39,4.06
10002,2023-04-28,Solar,35.04,23.61,6.18
10233,2023-08-11,Solar,36.58,156.32,0.98
10006,2022-03-12,Solar,8.1,20.07,1.68
10208,2024-07-25,Solar,38.72,116.18,1.39
10219,2022-11-27,Solar,10.01,259.81,0.16
10216,2022-11-08,Wind,74.16,135.52,2.28
10046,2023-07-03,Solar,91.82,141.13,2.71
10140,2022-12-31,Solar,22.03,199.55,0.46
10199,2024-03-03,Solar,1.0,251.55,0.02
10224,2025-08-15,Solar,33.81,125.63,1.12
10188,2025-04-09,Solar,54.62,175.31,1.3
10041,2023-01-18,Wind,93.2,39.82,9.75
10216,2023-07-11,Solar,68.9,222.41,1.29
10143,2025-09-18,Solar,41.82,299.26,0.58
10183,2022-05-15,Solar,25.14,270.43,0.39
10193,2023-01-22,Wind,34.3,260.52,0.55
10165,2024-02-29,Solar,55.02,241.47,0.95
10145,2025-05-28,Solar,100.2,44.01,9.49
10066,2024-02-15,Solar,100.82,129.82,3.24
10172,2023-11-27,Wind,100.65,150.16,2.79
10195,2024-01-28,Wind,77.64,249.08,1.3
10234,2025-06-07,Wind,93.58,96.76,4.03
10036,2024-08-23,Solar,45.5,38.97,4.86
10017,2022-12-19,Wind,58.33,65.56,3.71
10080,2025-06-10,Solar,81.3,39.52,8.57
10157,2023-06-08,Wind,75.82,287.91,1.1
10028,2022-12-26,Wind,57.46,112.51,2.13
10079,2025-08-13,Solar,100.01,199.77,2.09
10207,2023-12-30,Solar,78.72,35.86,9.15
10184,2024-11-07,Solar,3.24,152.32,0.09
10229,2025-03-03,Solar,59.97,158.63,1.58
10139,2023-01-06,Wind,107.83,249.63,1.8
10210,2023-02-21,Solar,40.46,210.71,0.8
10007,2022-01-28,Solar,43.71,218.01,0.84
10193,2024-06-17,Solar,74.23,162.09,1.91
10004,2022-07-13,Wind,134.94,86.09,6.53
10062,2023-08-22,Solar,102.83,29.42,14.56
10073,2025-09-17,Wind,56.03,159.02,1.47
10105,2022-09-20,Solar,67.56,282.36,1.0
10033,2025-01-10,Solar,100.61,74.58,5.62
10003,2023-01-12,Solar,10.3,95.22,0.45
10004,2024-12-06,Wind,77.87,186.97,1.74
10234,2025-07-31,Wind,54.35,248.28,0.91
10010,2023-09-19,Solar,28.96,246.27,0.49
10114,2023-04-14,Solar,58.46,183.51,1.33
10214,2024-08-29,Solar,25.01,193.95,0.54
10016,2022-03-05,Solar,60.78,108.91,2.33
10137,2025-09-08,Solar,47.46,131.31,1.51
10204,2023-12-18,Solar,1.0,219.07,0.02
10113,2023-04-07,Solar,13.73,257.53,0.22
10217,2023-06-24,Solar,52.37,41.62,5.24
10038,2023-11-19,Wind,45.9,31.76,6.02
10104,2023-12-02,Solar,51.03,139.41,1.53
10095,2025-08-31,Solar,68.28,260.37,1.09
10152,2022-12-30,Solar,99.3,48.49,8.53
10159,2025-07-10,Wind,97.44,210.02,1.93
10227,2024-03-01,Solar,60.08,142.59,1.76
10159,2025-02-12,Wind,105.98,94.41,4.68
10034,2022-06-09,Solar,66.94,167.16,1.67
10073,2025-09-29,Wind,84.64,204.76,1.72
10019,2023-08-28,Solar,68.23,71.17,3.99
10033,2024-12-12,Solar,31.59,234.99,0.56
10214,2025-03-05,Wind,80.85,21.82,15.44
10009,2025-03-20,Solar,55.78,75.9,3.06
10239,2022-12-01,Solar,23.47,123.64,0.79
10236,2022-03-30,Solar,65.21,58.05,4.68
10220,2022-08-06,Solar,38.68,57.76,2.79
10120,2023-09-07,Wind,75.91,97.34,3.25
10190,2025-06-07,Wind,25.99,262.9,0.41
10087,2023-07-29,Wind,74.32,50.58,6.12
10162,2023-08-21,Wind,103.98,94.61,4.58
10207,2025-09-20,Solar,23.24,229.24,0.42
10074,2023-03-21,Wind,68.44,184.85,1.54
10200,2024-06-17,Solar,77.61,260.91,1.24
10187,2025-07-17,Wind,105.05,20.76,21.08
10075,2023-06-21,Wind,138.4,285.88,2.02
10032,2023-03-29,Solar,1.0,181.75,0.02
10173,2023-12-08,Wind,71.92,245.31,1.22
10192,2022-08-02,Solar,8.99,143.86,0.26
10103,2024-10-12,Solar,85.74,92.21,3.87
10237,2023-08-05,Solar,86.36,180.04,2.0
10038,2025-03-24,Wind,67.9,144.32,1.96
10229,2024-06-13,Wind,95.08,56.83,6.97
10163,2022-03-24,Solar,71.89,258.93,1.16
10087,2024-06-25,Wind,117.64,264.16,1.86
10020,2024-05-10,Solar,11.03,57.46,0.8
10023,2022-06-20,Solar,91.37,250.04,1.52
10082,2022-09-25,Wind,122.92,179.18,2.86
10234,2023-05-14,Wind,161.36,194.71,3.45
10064,2025-09-11,Solar,30.69,151.28,0.85
10174,2024-09-19,Solar,19.75,125.5,0.66
10070,2025-04-23,Wind,56.31,177.49,1.32
10066,2022-09-14,Wind,95.26,219.84,1.81
10226,2023-10-26,Solar,41.9,171.55,1.02
10040,2024-01-21,Solar,45.97,144.96,1.32
10190,2022-09-06,Solar,62.77,265.55,0.98
10025,2025-01-04,Solar,61.67,51.41,5.0
10065,2025-02-22,Wind,77.54,155.06,2.08
10165,2025-02-12,Solar,13.92,79.91,0.73
10200,2024-01-02,Solar,67.6,211.88,1.33
10223,2023-05-07,Wind,95.37,130.52,3.04
10048,2024-06-01,Solar,1.0,97.88,0.04
10086,2025-09-02,Solar,96.41,38.65,10.39
10188,2022-11-16,Solar,49.05,51.44,3.97
10174,2022-12-29,Solar,64.77,179.16,1.51
10210,2023-06-12,Wind,39.54,182.32,0.9
10208,2022-07-30,Wind,79.63,32.79,10.12
10053,2024-01-14,Wind,47.13,150.32,1.31
10144,2024-02-11,Wind,108.7,86.82,5.22
10044,2023-07-17,Solar,52.07,131.69,1.65
10033,2024-05-02,Wind,61.17,192.65,1.32
10064,2024-08-17,Solar,70.17,246.97,1.18
10034,2022-03-02,Wind,66.79,268.71,1.04
10191,2022-04-11,Wind,40.92,144.59,1.18
